date_time_utc,location_type,location_code,location_name,wind_direction,wind_speed_kts,temperature_celsius,cloud_cover_percentage,relative_humidity_percentage,icon,precipitation_chance_percentage,pressure_hpa
"2019-12-02 11:00:00",TWCID,9028,Canberra,WNW,12.20,9.60,18,39,"Mostly clear",5,1004.1
"2019-12-02 12:00:00",TWCID,9028,Canberra,WNW,10.70,9.40,18,42,"Mostly clear",5,1004.5
"2019-12-02 13:00:00",TWCID,9028,Canberra,WNW,11.40,8.90,18,44,"Mostly clear",5,1004.8
"2019-12-02 14:00:00",TWCID,9028,Canberra,WNW,10.10,8.20,34,44,"Mostly clear",5,1004.6
"2019-12-02 15:00:00",TWCID,9028,Canberra,WNW,10.70,7.50,29,47,"Mostly clear",5,1004.6
"2019-12-02 16:00:00",TWCID,9028,Canberra,WNW,10.30,7.40,4,50,Clear,5,1004.6
"2019-12-02 17:00:00",TWCID,9028,Canberra,WNW,10.60,7.10,10,53,Clear,5,1004.4
"2019-12-02 18:00:00",TWCID,9028,Canberra,WNW,10.40,6.80,8,57,Clear,5,1005.0
"2019-12-02 19:00:00",TWCID,9028,Canberra,WNW,11.80,6.80,7,60,Clear,5,1005.6
"2019-12-02 20:00:00",TWCID,9028,Canberra,WNW,12.20,8.50,28,56,"Mostly clear",5,1005.7
"2019-12-02 21:00:00",TWCID,9028,Canberra,WNW,14.60,10.40,36,49,"Mostly clear",5,1006.7
"2019-12-02 22:00:00",TWCID,9028,Canberra,WNW,15.30,12.30,39,45,"Mostly clear",5,1006.8
"2019-12-02 23:00:00",TWCID,9028,Canberra,WNW,15.40,13.80,21,43,"Mostly clear",5,1006.9
"2019-12-03 00:00:00",TWCID,9028,Canberra,WNW,17.40,15.50,14,39,"Mostly clear",5,1007.1
"2019-12-03 01:00:00",TWCID,9028,Canberra,WNW,18.90,17.00,9,35,Clear,5,1006.8
"2019-12-03 02:00:00",TWCID,9028,Canberra,WNW,21.30,17.80,11,33,"Mostly clear. Windy",5,1006.5
"2019-12-03 03:00:00",TWCID,9028,Canberra,WNW,21.40,19.00,10,32,"Mostly clear. Windy",5,1006.0
